image_id,D1,D2,D3,D4,D5
39983.jpg,1.0,0.0,0.0,1.0,1.0
12525.jpg,1.0,1.0,0.0,0.0,0.0
22134.jpg,0.0,1.0,0.0,1.0,1.0
07679.jpg,1.0,1.0,1.0,0.0,0.0
25561.jpg,1.0,0.0,0.0,0.0,0.0
42859.jpg,1.0,0.0,1.0,0.0,0.0
39969.jpg,1.0,0.0,1.0,0.0,0.0
35211.jpg,1.0,0.0,1.0,0.0,0.0
30897.jpg,0.0,0.0,1.0,0.0,1.0
23747.jpg,1.0,1.0,1.0,0.0,1.0
42573.jpg,0.0,0.0,1.0,0.0,1.0
19490.jpg,0.0,0.0,1.0,0.0,1.0
06546.jpg,1.0,0.0,1.0,0.0,1.0
22216.jpg,1.0,0.0,1.0,0.0,1.0
24414.jpg,1.0,0.0,1.0,0.0,1.0
09975.jpg,1.0,0.0,1.0,0.0,1.0
26293.jpg,1.0,0.0,1.0,1.0,1.0
44543.jpg,1.0,0.0,0.0,0.0,0.0
42795.jpg,1.0,0.0,1.0,0.0,1.0
06304.jpg,1.0,0.0,1.0,0.0,1.0
15874.jpg,0.0,0.0,1.0,0.0,1.0
27053.jpg,1.0,0.0,1.0,0.0,0.0
25727.jpg,1.0,0.0,1.0,0.0,1.0
39529.jpg,1.0,0.0,1.0,0.0,1.0
40142.jpg,1.0,0.0,1.0,0.0,1.0
15509.jpg,1.0,0.0,0.0,0.0,0.0
18773.jpg,1.0,0.0,1.0,0.0,1.0
14706.jpg,0.0,0.0,1.0,0.0,1.0
17616.jpg,1.0,1.0,1.0,0.0,1.0
11281.jpg,1.0,0.0,1.0,0.0,1.0
30042.jpg,1.0,0.0,1.0,0.0,1.0
04658.jpg,1.0,0.0,1.0,0.0,1.0
44683.jpg,1.0,0.0,1.0,0.0,1.0
41287.jpg,1.0,0.0,1.0,0.0,1.0
03814.jpg,1.0,0.0,1.0,0.0,1.0
30207.jpg,1.0,0.0,1.0,0.0,1.0
05151.jpg,1.0,0.0,1.0,0.0,1.0
22371.jpg,1.0,1.0,1.0,0.0,1.0
02757.jpg,1.0,0.0,1.0,0.0,1.0
37642.jpg,1.0,0.0,1.0,0.0,1.0
21133.jpg,1.0,1.0,1.0,1.0,1.0
24965.jpg,1.0,1.0,1.0,0.0,1.0
16852.jpg,1.0,0.0,1.0,0.0,1.0
27037.jpg,1.0,0.0,1.0,0.0,1.0
20646.jpg,1.0,0.0,1.0,0.0,1.0
36907.jpg,1.0,1.0,0.0,0.0,0.0
30226.jpg,0.0,0.0,1.0,0.0,1.0
39312.jpg,0.0,1.0,1.0,0.0,1.0
26554.jpg,1.0,1.0,1.0,0.0,1.0
38180.jpg,1.0,0.0,0.0,0.0,0.0
21030.jpg,1.0,1.0,1.0,0.0,1.0
05305.jpg,1.0,1.0,1.0,0.0,1.0
41759.jpg,1.0,0.0,1.0,0.0,1.0
21803.jpg,1.0,0.0,1.0,0.0,1.0
30241.jpg,1.0,1.0,1.0,0.0,1.0
34529.jpg,1.0,0.0,1.0,0.0,1.0
28334.jpg,1.0,0.0,1.0,0.0,0.0
43960.jpg,1.0,0.0,1.0,0.0,1.0
41491.jpg,1.0,0.0,1.0,0.0,1.0
49214.jpg,0.0,1.0,1.0,0.0,1.0
48527.jpg,1.0,1.0,1.0,0.0,1.0
33471.jpg,1.0,0.0,1.0,0.0,1.0
14900.jpg,1.0,0.0,1.0,0.0,1.0
46977.jpg,1.0,0.0,1.0,0.0,1.0
09564.jpg,1.0,0.0,1.0,0.0,1.0
49420.jpg,1.0,0.0,1.0,0.0,1.0
46955.jpg,1.0,0.0,1.0,0.0,1.0
20849.jpg,1.0,0.0,1.0,0.0,1.0
31428.jpg,1.0,0.0,1.0,0.0,1.0
30835.jpg,1.0,0.0,1.0,0.0,1.0
11946.jpg,1.0,0.0,1.0,0.0,1.0
48521.jpg,1.0,0.0,1.0,0.0,1.0
25133.jpg,0.0,1.0,1.0,0.0,1.0
49469.jpg,1.0,1.0,0.0,0.0,0.0
37860.jpg,0.0,1.0,1.0,0.0,1.0
35523.jpg,1.0,0.0,1.0,0.0,1.0
45222.jpg,0.0,1.0,1.0,0.0,1.0
30800.jpg,1.0,1.0,1.0,0.0,1.0
25371.jpg,1.0,1.0,0.0,1.0,1.0
46129.jpg,1.0,0.0,0.0,0.0,0.0
39344.jpg,1.0,0.0,1.0,0.0,0.0
14141.jpg,1.0,0.0,0.0,0.0,1.0
06402.jpg,1.0,1.0,0.0,0.0,0.0
09056.jpg,0.0,0.0,1.0,0.0,1.0
38726.jpg,1.0,0.0,1.0,0.0,1.0
07254.jpg,1.0,0.0,1.0,0.0,0.0
03589.jpg,1.0,0.0,0.0,1.0,1.0
10371.jpg,1.0,0.0,1.0,0.0,1.0
47320.jpg,1.0,0.0,1.0,0.0,1.0
26884.jpg,1.0,0.0,1.0,0.0,1.0
22399.jpg,1.0,0.0,0.0,0.0,1.0
10972.jpg,1.0,1.0,0.0,0.0,1.0
07493.jpg,1.0,1.0,1.0,0.0,0.0
30899.jpg,1.0,1.0,0.0,0.0,0.0
02916.jpg,1.0,1.0,0.0,0.0,0.0
40896.jpg,1.0,0.0,1.0,0.0,1.0
16309.jpg,1.0,1.0,1.0,0.0,0.0
46433.jpg,1.0,0.0,1.0,0.0,1.0
21053.jpg,1.0,1.0,0.0,0.0,0.0
31326.jpg,1.0,0.0,1.0,0.0,0.0
49065.jpg,1.0,0.0,1.0,0.0,1.0
27459.jpg,1.0,0.0,1.0,0.0,0.0
19310.jpg,1.0,1.0,1.0,0.0,1.0
23928.jpg,1.0,0.0,0.0,0.0,0.0
25711.jpg,1.0,0.0,0.0,0.0,1.0
12553.jpg,1.0,0.0,0.0,0.0,1.0
07920.jpg,1.0,0.0,0.0,0.0,0.0
02048.jpg,1.0,0.0,0.0,0.0,0.0
49584.jpg,1.0,0.0,1.0,0.0,1.0
47916.jpg,1.0,0.0,1.0,0.0,1.0
30165.jpg,1.0,0.0,1.0,0.0,1.0
48613.jpg,1.0,0.0,0.0,0.0,0.0
21564.jpg,1.0,1.0,0.0,0.0,1.0
36213.jpg,1.0,0.0,0.0,0.0,1.0
22741.jpg,1.0,0.0,0.0,0.0,0.0
12537.jpg,1.0,1.0,0.0,0.0,0.0
02180.jpg,1.0,0.0,0.0,1.0,0.0
01787.jpg,1.0,0.0,0.0,0.0,0.0
40087.jpg,1.0,1.0,1.0,0.0,0.0
35609.jpg,1.0,0.0,1.0,0.0,0.0
44312.jpg,1.0,0.0,1.0,0.0,1.0
45192.jpg,1.0,1.0,1.0,0.0,0.0
31301.jpg,0.0,0.0,1.0,0.0,1.0
21609.jpg,1.0,1.0,1.0,0.0,1.0
15508.jpg,1.0,1.0,1.0,0.0,1.0
23275.jpg,0.0,0.0,1.0,0.0,1.0
33632.jpg,1.0,0.0,1.0,0.0,1.0
30513.jpg,1.0,0.0,1.0,0.0,1.0
01173.jpg,0.0,0.0,1.0,0.0,1.0
18520.jpg,1.0,0.0,1.0,0.0,1.0
05351.jpg,1.0,0.0,1.0,0.0,1.0
16146.jpg,0.0,0.0,1.0,0.0,1.0
30291.jpg,0.0,1.0,1.0,0.0,1.0
43148.jpg,1.0,0.0,1.0,0.0,1.0
00196.jpg,1.0,0.0,1.0,0.0,1.0
49834.jpg,0.0,0.0,1.0,0.0,1.0
26423.jpg,1.0,0.0,1.0,0.0,1.0
30349.jpg,1.0,1.0,1.0,0.0,1.0
39562.jpg,1.0,0.0,1.0,0.0,1.0
11950.jpg,1.0,0.0,1.0,0.0,1.0
33497.jpg,1.0,0.0,1.0,0.0,1.0
07248.jpg,0.0,0.0,1.0,0.0,1.0
28060.jpg,1.0,0.0,1.0,0.0,1.0
31204.jpg,1.0,1.0,1.0,0.0,1.0
20162.jpg,1.0,0.0,1.0,0.0,1.0
42712.jpg,1.0,0.0,1.0,0.0,1.0
03944.jpg,1.0,0.0,1.0,0.0,1.0
12652.jpg,0.0,1.0,1.0,0.0,1.0
01323.jpg,0.0,0.0,1.0,0.0,1.0
47149.jpg,1.0,0.0,1.0,0.0,1.0
37342.jpg,1.0,0.0,1.0,0.0,1.0
19945.jpg,0.0,1.0,1.0,0.0,1.0
28616.jpg,1.0,0.0,0.0,1.0,1.0
34058.jpg,1.0,0.0,1.0,0.0,1.0
23593.jpg,1.0,0.0,0.0,0.0,1.0
46226.jpg,0.0,0.0,1.0,0.0,1.0
19794.jpg,0.0,0.0,1.0,0.0,1.0
46262.jpg,1.0,1.0,1.0,0.0,1.0
42256.jpg,1.0,1.0,1.0,0.0,1.0
38965.jpg,1.0,0.0,1.0,0.0,1.0
09418.jpg,0.0,1.0,1.0,0.0,1.0
30537.jpg,0.0,0.0,1.0,0.0,1.0
34251.jpg,1.0,0.0,1.0,0.0,1.0
32073.jpg,0.0,1.0,1.0,0.0,1.0
13732.jpg,1.0,0.0,1.0,0.0,1.0
30937.jpg,0.0,1.0,1.0,0.0,1.0
43810.jpg,0.0,1.0,1.0,0.0,1.0
19029.jpg,1.0,0.0,1.0,0.0,1.0
00083.jpg,1.0,0.0,1.0,0.0,1.0
49108.jpg,1.0,0.0,1.0,0.0,1.0
24464.jpg,1.0,0.0,0.0,0.0,1.0
11930.jpg,1.0,1.0,1.0,0.0,1.0
03777.jpg,1.0,0.0,1.0,0.0,1.0
48073.jpg,1.0,0.0,1.0,0.0,1.0
32285.jpg,0.0,0.0,1.0,0.0,1.0
39935.jpg,1.0,0.0,1.0,0.0,1.0
33202.jpg,1.0,1.0,1.0,0.0,1.0
44389.jpg,1.0,0.0,0.0,0.0,0.0
19442.jpg,0.0,0.0,1.0,0.0,1.0
43636.jpg,1.0,0.0,1.0,0.0,1.0
38489.jpg,0.0,0.0,0.0,1.0,1.0
02178.jpg,1.0,0.0,1.0,0.0,1.0
43428.jpg,0.0,1.0,1.0,0.0,1.0
12116.jpg,0.0,0.0,0.0,1.0,1.0
06456.jpg,0.0,0.0,1.0,0.0,1.0
34311.jpg,1.0,0.0,0.0,0.0,1.0
21293.jpg,1.0,0.0,1.0,0.0,1.0
46958.jpg,1.0,0.0,1.0,0.0,1.0
17740.jpg,1.0,0.0,0.0,1.0,1.0
24577.jpg,1.0,0.0,1.0,0.0,1.0
49370.jpg,0.0,0.0,1.0,0.0,1.0
01083.jpg,1.0,0.0,0.0,1.0,1.0
40038.jpg,0.0,0.0,1.0,0.0,1.0
40108.jpg,1.0,0.0,1.0,0.0,1.0
04049.jpg,1.0,0.0,1.0,0.0,1.0
13083.jpg,1.0,0.0,1.0,0.0,1.0
36941.jpg,0.0,0.0,1.0,0.0,1.0
02718.jpg,1.0,0.0,1.0,0.0,1.0
22935.jpg,1.0,0.0,1.0,0.0,1.0
23210.jpg,1.0,0.0,1.0,0.0,1.0
25414.jpg,1.0,0.0,1.0,0.0,1.0
13806.jpg,1.0,0.0,1.0,0.0,1.0
01663.jpg,0.0,0.0,1.0,0.0,1.0
30701.jpg,1.0,0.0,1.0,0.0,1.0
05153.jpg,1.0,0.0,1.0,0.0,1.0
20812.jpg,1.0,0.0,0.0,0.0,1.0
06078.jpg,0.0,1.0,1.0,0.0,1.0
15062.jpg,1.0,0.0,1.0,0.0,1.0
21343.jpg,1.0,0.0,1.0,0.0,1.0
09234.jpg,1.0,0.0,0.0,1.0,1.0
42841.jpg,1.0,0.0,1.0,0.0,1.0
31970.jpg,0.0,0.0,1.0,0.0,1.0
26691.jpg,0.0,0.0,1.0,0.0,1.0
06047.jpg,1.0,0.0,0.0,0.0,1.0
19717.jpg,0.0,0.0,1.0,0.0,1.0
19183.jpg,1.0,0.0,0.0,1.0,1.0
10136.jpg,1.0,1.0,0.0,0.0,1.0
23791.jpg,0.0,0.0,0.0,1.0,1.0
34674.jpg,1.0,0.0,1.0,0.0,1.0
47458.jpg,0.0,1.0,1.0,0.0,1.0
06740.jpg,0.0,0.0,1.0,0.0,1.0
48076.jpg,1.0,1.0,1.0,0.0,1.0
47049.jpg,1.0,0.0,1.0,0.0,1.0
10700.jpg,1.0,0.0,1.0,0.0,1.0
37824.jpg,1.0,0.0,1.0,0.0,1.0
31434.jpg,0.0,0.0,1.0,0.0,1.0
26895.jpg,1.0,0.0,1.0,0.0,1.0
08413.jpg,1.0,0.0,1.0,0.0,1.0
09498.jpg,1.0,1.0,1.0,0.0,1.0
34032.jpg,0.0,0.0,0.0,0.0,1.0
15199.jpg,1.0,0.0,1.0,0.0,1.0
23023.jpg,0.0,1.0,1.0,0.0,1.0
37322.jpg,0.0,0.0,1.0,0.0,1.0
14132.jpg,1.0,1.0,1.0,0.0,1.0
24527.jpg,0.0,1.0,1.0,0.0,1.0
00350.jpg,0.0,1.0,1.0,0.0,1.0
09289.jpg,0.0,1.0,1.0,0.0,1.0
01942.jpg,0.0,1.0,1.0,0.0,1.0
03124.jpg,1.0,1.0,0.0,0.0,1.0
37645.jpg,0.0,0.0,1.0,0.0,1.0
14247.jpg,1.0,0.0,1.0,0.0,1.0
01344.jpg,0.0,0.0,1.0,0.0,1.0
29974.jpg,0.0,0.0,0.0,1.0,1.0
